casual;registered;cnt
331;654;985
131;670;801
120;1229;1349
108;1454;1562
82;1518;1600
88;1518;1606
148;1362;1510
68;891;959
54;768;822
41;1280;1321
43;1220;1263
25;1137;1162
38;1368;1406
54;1367;1421
222;1026;1248
251;953;1204
117;883;1000
9;674;683
78;1572;1650
83;1844;1927
75;1468;1543
93;888;981
150;836;986
86;1330;1416
186;1799;1985
34;472;506
15;416;431
38;1129;1167
123;975;1098
140;956;1096
42;1459;1501
47;1313;1360
72;1454;1526
61;1489;1550
88;1620;1708
100;905;1005
354;1269;1623
120;1592;1712
64;1466;1530
53;1552;1605
47;1491;1538
149;1597;1746
288;1184;1472
397;1192;1589
208;1705;1913
140;1675;1815
218;1897;2115
259;2216;2475
579;2348;2927
532;1103;1635
639;1173;1812
195;912;1107
74;1376;1450
139;1778;1917
100;1707;1807
120;1341;1461
424;1545;1969
694;1708;2402
81;1365;1446
137;1714;1851
231;1903;2134
123;1562;1685
214;1730;1944
640;1437;2077
114;491;605
244;1628;1872
316;1817;2133
191;1700;1891
46;577;623
247;1730;1977
724;1408;2132
982;1435;2417
359;1687;2046
289;1767;2056
321;1871;2192
424;2320;2744
884;2355;3239
1424;1693;3117
1047;1424;2471
401;1676;2077
460;2243;2703
203;1918;2121
166;1699;1865
300;1910;2210
981;1515;2496
472;1221;1693
222;1806;2028
317;2108;2425
168;1368;1536
179;1506;1685
307;1920;2227
898;1354;2252
1651;1598;3249
734;2381;3115
167;1628;1795
413;2395;2808
571;2570;3141
172;1299;1471
879;1576;2455
1188;1707;2895
855;2493;3348
257;1777;2034
209;1953;2162
529;2738;3267
642;2484;3126
121;674;795
1558;2186;3744
669;2760;3429
409;2795;3204
613;3331;3944
745;3444;4189
177;1506;1683
1462;2574;4036
1710;2481;4191
773;3300;4073
678;3722;4400
547;3325;3872
569;3489;4058
878;3717;4595
1965;3347;5312
1138;2213;3351
847;3554;4401
603;3848;4451
255;2378;2633
614;3819;4433
894;3714;4608
1612;3102;4714
1401;2932;4333
664;3698;4362
694;4109;4803
550;3632;4182
695;4169;4864
692;3413;4105
902;2507;3409
1582;2971;4553
773;3185;3958
678;3445;4123
536;3319;3855
735;3840;4575
909;4008;4917
2258;3547;5805
1576;3084;4660
836;3438;4274
659;3833;4492
740;4238;4978
758;3919;4677
871;3808;4679
2001;2757;4758
2355;2433;4788
1549;2549;4098
673;3309;3982
513;3461;3974
736;4232;4968
898;4414;5312
1869;3473;5342
1685;3221;4906
673;3875;4548
763;4070;4833
676;3725;4401
563;3352;3915
815;3771;4586
1729;3237;4966
1467;2993;4460
863;4157;5020
727;4164;4891
769;4411;5180
545;3222;3767
863;3981;4844
1807;3312;5119
1639;3105;4744
699;3311;4010
774;4061;4835
661;3846;4507
746;4044;4790
969;4022;4991
1782;3420;5202
1920;3385;5305
854;3854;4708
732;3916;4648
848;4377;5225
1027;4488;5515
1246;4116;5362
2204;2915;5119
2282;2367;4649
3065;2978;6043
1031;3634;4665
784;3845;4629
754;3838;4592
692;3348;4040
1988;3348;5336
1743;3138;4881
723;3363;4086
662;3596;4258
748;3594;4342
888;4196;5084
1318;4220;5538
2418;3505;5923
2006;3296;5302
841;3617;4458
752;3789;4541
644;3688;4332
632;3152;3784
562;2825;3387
987;2298;3285
1050;2556;3606
568;3272;3840
750;3840;4590
755;3901;4656
606;3784;4390
670;3176;3846
1559;2916;4475
1524;2778;4302
729;3537;4266
801;4044;4845
467;3107;3574
799;3777;4576
1023;3843;4866
1521;2773;4294
1298;2487;3785
846;3480;4326
907;3695;4602
884;3896;4780
812;3980;4792
1051;3854;4905
1504;2646;4150
1338;2482;3820
775;3563;4338
721;4004;4725
668;4026;4694
639;3166;3805
797;3356;4153
1914;3277;5191
1249;2624;3873
833;3925;4758
1281;4614;5895
949;4181;5130
435;3107;3542
768;3893;4661
226;889;1115
1415;2919;4334
729;3905;4634
775;4429;5204
688;4370;5058
783;4332;5115
875;3852;4727
1935;2549;4484
2521;2419;4940
1236;2115;3351
204;2506;2710
118;1878;1996
153;1689;1842
417;3127;3544
1750;3595;5345
1633;3413;5046
690;4023;4713
701;4062;4763
647;4138;4785
428;3231;3659
742;4018;4760
1434;3077;4511
1353;2921;4274
691;3848;4539
438;3203;3641
539;3813;4352
555;4240;4795
258;2137;2395
1776;3647;5423
1544;3466;5010
684;3946;4630
477;3643;4120
480;3427;3907
653;4186;4839
830;4372;5202
480;1949;2429
616;2302;2918
330;3240;3570
486;3970;4456
559;4267;4826
639;4126;4765
949;4036;4985
2235;3174;5409
2397;3114;5511
1514;3603;5117
667;3896;4563
217;2199;2416
290;2623;2913
529;3115;3644
1899;3318;5217
1748;3293;5041
713;3857;4570
637;4111;4748
254;2170;2424
471;3724;4195
676;3628;4304
1499;2809;4308
1619;2762;4381
699;3488;4187
695;3992;4687
404;3490;3894
240;2419;2659
456;3291;3747
57;570;627
885;2446;3331
362;3307;3669
410;3658;4068
370;3816;4186
318;3656;3974
470;3576;4046
1156;2770;3926
952;2697;3649
373;3662;4035
376;3829;4205
305;3804;4109
190;2743;2933
440;2928;3368
1275;2792;4067
1004;2713;3717
595;3891;4486
449;3746;4195
145;1672;1817
139;2914;3053
245;3147;3392
943;2720;3663
787;2733;3520
220;2545;2765
69;1538;1607
112;2454;2566
560;935;1495
1095;1697;2792
1249;1819;3068
810;2261;3071
253;3614;3867
96;2818;2914
188;3425;3613
182;3545;3727
268;3672;3940
706;2908;3614
634;2851;3485
233;3578;3811
126;2468;2594
50;655;705
150;3172;3322
261;3359;3620
502;2688;3190
377;2366;2743
143;3167;3310
155;3368;3523
178;3562;3740
181;3528;3709
178;3399;3577
275;2464;2739
220;2211;2431
260;3143;3403
216;3534;3750
107;2553;2660
227;2841;3068
163;2046;2209
155;856;1011
303;451;754
430;887;1317
103;1059;1162
255;2047;2302
254;2169;2423
491;2508;2999
665;1820;2485
686;1608;2294
244;1707;1951
89;2147;2236
95;2273;2368
140;3132;3272
307;3791;4098
1070;3451;4521
599;2826;3425
106;2270;2376
173;3425;3598
92;2085;2177
269;3828;4097
174;3040;3214
333;2160;2493
284;2027;2311
217;2081;2298
127;2808;2935
109;3267;3376
130;3162;3292
115;3048;3163
67;1234;1301
196;1781;1977
145;2287;2432
439;3900;4339
467;3803;4270
244;3831;4075
269;3187;3456
775;3248;4023
558;2685;3243
126;3498;3624
324;4185;4509
304;4275;4579
190;3571;3761
310;3841;4151
384;2448;2832
318;2629;2947
206;3578;3784
199;4176;4375
109;2693;2802
163;3667;3830
227;3604;3831
192;1977;2169
73;1456;1529
94;3328;3422
135;3787;3922
141;4028;4169
74;2931;3005
349;3805;4154
1435;2883;4318
618;2071;2689
502;2627;3129
163;3614;3777
394;4379;4773
516;4546;5062
246;3241;3487
317;2415;2732
515;2874;3389
253;4069;4322
229;4134;4363
65;1769;1834
325;4665;4990
246;2948;3194
956;3110;4066
710;2713;3423
203;3130;3333
221;3735;3956
432;4484;4916
486;4896;5382
447;4122;4569
968;3150;4118
1658;3253;4911
838;4460;5298
762;5085;5847
997;5315;6312
1005;5187;6192
548;3830;4378
3155;4681;7836
2207;3685;5892
982;5171;6153
1051;5042;6093
1122;5108;6230
1334;5537;6871
2469;5893;8362
1033;2339;3372
1532;3464;4996
795;4763;5558
531;4571;5102
674;5024;5698
834;5299;6133
796;4663;5459
2301;3934;6235
2347;3694;6041
1208;4728;5936
1348;5424;6772
1058;5378;6436
1192;5265;6457
1807;4653;6460
3252;3605;6857
2230;2939;5169
905;4680;5585
819;5099;5918
482;4380;4862
663;4746;5409
1252;5146;6398
2795;4665;7460
2846;4286;7132
1198;5172;6370
989;5702;6691
347;4020;4367
846;5719;6565
1340;5950;7290
2541;4083;6624
120;907;1027
195;3019;3214
518;5115;5633
655;5541;6196
475;4551;5026
1014;5219;6233
1120;3100;4220
2229;4075;6304
665;4907;5572
653;5087;5740
667;5502;6169
764;5657;6421
1069;5227;6296
2496;4387;6883
2135;4224;6359
1008;5265;6273
738;4990;5728
620;4097;4717
1026;5546;6572
1319;5711;7030
2622;4807;7429
2172;3946;6118
342;2501;2843
625;4490;5115
991;6433;7424
1242;6142;7384
1521;6118;7639
3410;4884;8294
2704;4425;7129
630;3729;4359
819;5254;6073
766;4494;5260
1059;5711;6770
1417;5317;6734
2855;3681;6536
3283;3308;6591
2557;3486;6043
880;4863;5743
745;6110;6855
1100;6238;7338
533;3594;4127
2795;5325;8120
2494;5147;7641
1071;5927;6998
968;6033;7001
1027;6028;7055
1038;6456;7494
1488;6248;7736
2708;4790;7498
2224;4374;6598
1017;5647;6664
477;4495;4972
1173;6248;7421
1180;6183;7363
1563;6102;7665
2963;4739;7702
2634;4344;6978
653;4446;5099
968;5857;6825
872;5339;6211
778;5127;5905
964;4859;5823
2657;4801;7458
2551;4340;6891
1139;5640;6779
1077;6365;7442
1077;6258;7335
921;5958;6879
829;4634;5463
1455;4232;5687
1421;4110;5531
904;5323;6227
1052;5608;6660
2562;4841;7403
1405;4836;6241
1366;4841;6207
1448;3392;4840
1203;3469;4672
998;5571;6569
954;5336;6290
975;6289;7264
1032;6414;7446
1511;5988;7499
2355;4614;6969
1920;4111;6031
1088;5742;6830
921;5865;6786
799;4914;5713
888;5703;6591
747;5123;5870
1264;3195;4459
2544;4866;7410
1135;5831;6966
1140;6452;7592
1383;6790;8173
1036;5825;6861
1259;5645;6904
2234;4451;6685
2153;4444;6597
1040;6065;7105
968;6248;7216
1074;6506;7580
983;6278;7261
1328;5847;7175
2345;4479;6824
1707;3757;5464
1233;5780;7013
1278;5995;7273
1263;6271;7534
1196;6090;7286
1065;4721;5786
2247;4052;6299
2182;4362;6544
1207;5676;6883
1128;5656;6784
1198;6149;7347
1338;6267;7605
1483;5665;7148
2827;5038;7865
1208;3341;4549
1026;5504;6530
1081;5925;7006
1094;6281;7375
1363;6402;7765
1325;6257;7582
1829;4224;6053
1483;3772;5255
989;5928;6917
935;6105;7040
1177;6520;7697
1172;6541;7713
1433;5917;7350
2352;3788;6140
2613;3197;5810
1965;4069;6034
867;5997;6864
832;6280;7112
611;5592;6203
1045;6459;7504
1557;4419;5976
2570;5657;8227
1118;6407;7525
1070;6697;7767
1050;6820;7870
1054;6750;7804
1379;6630;8009
3160;5554;8714
2166;5167;7333
1022;5847;6869
371;3702;4073
788;6803;7591
939;6781;7720
1250;6917;8167
2512;5883;8395
2454;5453;7907
1001;6435;7436
845;6693;7538
787;6946;7733
751;6642;7393
1045;6370;7415
2589;5966;8555
2015;4874;6889
763;6015;6778
315;4324;4639
728;6844;7572
891;6437;7328
1516;6640;8156
3031;4934;7965
781;2729;3510
874;4604;5478
601;5791;6392
780;6911;7691
834;6736;7570
1060;6222;7282
2252;4857;7109
2080;4559;6639
760;5115;5875
922;6612;7534
979;6482;7461
1008;6501;7509
753;4671;5424
2806;5284;8090
2132;4692;6824
830;6228;7058
841;6625;7466
795;6898;7693
875;6484;7359
1182;6262;7444
2643;5209;7852
998;3461;4459
2;20;22
87;1009;1096
419;5147;5566
466;5520;5986
618;5229;5847
1029;4109;5138
1201;3906;5107
378;4881;5259
466;5220;5686
326;4709;5035
340;4975;5315
709;5283;5992
2090;4446;6536
2290;4562;6852
1097;5172;6269
327;3767;4094
373;5122;5495
320;5125;5445
484;5214;5698
1313;4316;5629
922;3747;4669
449;5050;5499
534;5100;5634
615;4531;5146
955;1470;2425
1603;2307;3910
532;1745;2277
309;2115;2424
337;4750;5087
123;3836;3959
198;5062;5260
243;5080;5323
362;5306;5668
951;4240;5191
892;3757;4649
555;5679;6234
551;6055;6606
331;5398;5729
340;5035;5375
349;4659;5008
1153;4429;5582
441;2787;3228
329;4841;5170
282;5219;5501
310;5009;5319
425;5107;5532
429;5182;5611
767;4280;5047
538;3248;3786
212;4373;4585
433;5124;5557
333;4934;5267
314;3814;4128
221;3402;3623
205;1544;1749
408;1379;1787
174;746;920
440;573;1013
9;432;441
247;1867;2114
644;2451;3095
159;1182;1341
364;1432;1796
439;2290;2729